Frequ̻ncia,Ganho simulado (dB),Ganho medido (dB)
200,-8.53,-12.97
200,-8.53,-12.42
200,-8.53,-12.55
200,-8.53,-12.76
400,3.98,-2.69
400,3.98,-2.37
400,3.98,-2.26
400,3.98,-2.47
800,16.06,9.41
800,16.06,9.52
800,16.06,9.62
800,16.06,9.46
1000,18.29,12.84
1000,18.29,12.95
1000,18.29,13.06
1000,18.29,12.80
2000,18.78,17.94
2000,18.78,18.04
2000,18.78,18.14
2000,18.78,17.84
10000,18.04,17.09
10000,18.04,17.20
10000,18.04,17.53
10000,18.04,17.09
20000,17.91,10.85
20000,17.91,10.62
20000,17.91,11.07
20000,17.91,11.72
25000,17.84,11.72
25000,17.84,12.51
25000,17.84,11.92
25000,17.84,12.12
30000,17.74,7.38
30000,17.74,7.42
30000,17.74,7.52
30000,17.74,9.62
40000,17.52,5.40
40000,17.52,5.23
40000,17.52,5.57
40000,17.52,5.18
50000,17.25,5.10
50000,17.25,5.01
50000,17.25,5.18
50000,17.25,5.61